personId,roadUser,gender,age,ageGroup,crashId
3217,Motorcycle rider,Male,39,26_to_39,20213183
3218,Motorcycle rider,Male,22,17_to_25,20217012
3219,Motorcycle rider,Male,32,26_to_39,20211063
3220,Pedestrian,Male,52,40_to_64,20217009
3221,Pedestrian,Female,54,40_to_64,20213177
3222,Driver,Male,84,75_or_older,20213101
3223,Driver,Male,89,75_or_older,20212095
3224,Driver,Male,63,40_to_64,20213185
3225,Driver,Male,42,40_to_64,20214091
3226,Driver,Male,78,75_or_older,20214081
3227,Pedestrian,Male,68,65_to_74,20212128
3228,Passenger,Female,58,40_to_64,20215102
3229,Passenger,Male,85,75_or_older,20212098
3230,Driver,Female,84,75_or_older,20212098
3231,Driver,Male,77,75_or_older,20214059
3232,Pedal cyclist,Male,68,65_to_74,20211177
3233,Pedestrian,Male,90,75_or_older,20214001
3234,Pedal cyclist,Male,78,75_or_older,20212119
3235,Motorcycle rider,Male,49,40_to_64,20215127
3236,Pedestrian,Male,19,17_to_25,20213002
3237,Driver,Female,80,75_or_older,20216013
3238,Driver,Male,47,40_to_64,20213087
3239,Motorcycle rider,Male,19,17_to_25,20213030
3240,Driver,Male,46,40_to_64,20212021
3241,Driver,Male,19,17_to_25,20211116
3242,Motorcycle rider,Male,26,26_to_39,20211076
3243,Passenger,Female,11,0_to_16,20211136
3244,Driver,Male,20,17_to_25,20212008
3245,Passenger,Female,24,17_to_25,20215077
3246,Motorcycle rider,Male,24,17_to_25,20213129
3247,Motorcycle rider,Male,45,40_to_64,20212066
3248,Motorcycle rider,Male,31,26_to_39,20214047
3249,Motorcycle rider,Male,36,26_to_39,20211191
3250,Driver,Female,20,17_to_25,20215044
3251,Driver,Male,23,17_to_25,20212106
3252,Passenger,Female,22,17_to_25,20212134
3253,Motorcycle rider,Male,38,26_to_39,20212053
3254,Motorcycle rider,Male,71,65_to_74,20217008
3255,Motorcycle rider,Male,49,40_to_64,20212111
3256,Driver,Male,46,40_to_64,20211011
3257,Driver,Male,19,17_to_25,20213068
3258,Driver,Male,52,40_to_64,20213157
3259,Pedal cyclist,Male,52,40_to_64,20212012
3260,Driver,Female,86,75_or_older,20211203
3261,Motorcycle pillion passenger,Female,27,26_to_39,20215140
3262,Motorcycle rider,Male,52,40_to_64,20213090
3263,Motorcycle rider,Male,50,40_to_64,20212072
3264,Driver,Male,20,17_to_25,20215088
3265,Driver,Male,61,40_to_64,20215155
3266,Driver,Male,56,40_to_64,20215147
3267,Driver,Male,34,26_to_39,20213155
3268,Pedestrian,Female,83,75_or_older,20215055
3269,Motorcycle rider,Male,37,26_to_39,20211020
3270,Driver,Male,67,65_to_74,20213130
3271,Driver,Male,49,40_to_64,20215121
3272,Driver,Female,84,75_or_older,20216022
3273,Motorcycle rider,Male,76,75_or_older,20215014
3274,Driver,Male,69,65_to_74,20212090
3275,Driver,Male,60,40_to_64,20211030
3276,Pedestrian,Male,90,75_or_older,20215040
3277,Driver,Female,32,26_to_39,20213188
3278,Passenger,Male,16,0_to_16,20212159
3279,Passenger,Male,15,0_to_16,20212159
3280,Passenger,Male,17,17_to_25,20212159
3281,Driver,Male,16,0_to_16,20212159
3282,Driver,Male,24,17_to_25,20214013
3283,Passenger,Male,15,0_to_16,20215142
3284,Passenger,Male,17,17_to_25,20215142
3285,Driver,Male,64,40_to_64,20211154
3286,Pedal cyclist,Female,63,40_to_64,20215132
3287,Driver,Female,71,65_to_74,20212077
3288,Passenger,Female,42,40_to_64,20212077
3289,Pedestrian,Female,4,0_to_16,20216014
3290,Driver,Female,19,17_to_25,20211094
3291,Pedal cyclist,Male,62,40_to_64,20212146
3292,Passenger,Male,10,0_to_16,20211015
3293,Driver,Female,32,26_to_39,20211015
3294,Passenger,Female,6,0_to_16,20211015
3295,Motorcycle rider,Male,32,26_to_39,20211108
3296,Driver,Male,62,40_to_64,20213165
3297,Pedal cyclist,Female,70,65_to_74,20214086
3298,Driver,Female,91,75_or_older,20214079
3299,Motorcycle rider,Male,74,65_to_74,20214010
3300,Passenger,Male,72,65_to_74,20215128
3301,Motorcycle rider,Male,34,26_to_39,20213062
3302,Passenger,Female,66,65_to_74,20215089
3303,Pedestrian,Male,38,26_to_39,20211055
3304,Driver,Female,37,26_to_39,20213128
3305,Passenger,Male,39,26_to_39,20213128
3306,Passenger,Female,2,0_to_16,20213128
3307,Driver,Male,34,26_to_39,20213128
3308,Driver,Male,52,40_to_64,20211048
3309,Driver,Female,41,40_to_64,20211048
3310,Passenger,Male,29,26_to_39,20213210
3311,Driver,Female,35,26_to_39,20212055
3312,Passenger,Male,1,0_to_16,20212055
3313,Passenger,Female,8,0_to_16,20212055
3314,Driver,Female,51,40_to_64,20212151
3315,Motorcycle rider,Male,51,40_to_64,20213084
