locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20234013_SA_Major Cities of Australia_Adelaide - South_Mitcham_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - South,Mitcham,Sub-arterial Road,20234013
20233007_QLD_Inner Regional Australia_Toowoomba_Toowoomba_National or State Highway,QLD,Inner Regional Australia,Toowoomba,Toowoomba,National or State Highway,20233007
20232038_VIC_Inner Regional Australia_Hume_Strathbogie_National or State Highway,VIC,Inner Regional Australia,Hume,Strathbogie,National or State Highway,20232038
20231079_NSW_Inner Regional Australia_Capital Region_Eurobodalla_Sub-arterial Road,NSW,Inner Regional Australia,Capital Region,Eurobodalla,Sub-arterial Road,20231079
20231151_NSW_Inner Regional Australia_Southern Highlands and Shoalhaven_Shoalhaven_Local Road,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Local Road,20231151
20232035_VIC_Major Cities of Australia_Melbourne - South East_Casey_Local Road,VIC,Major Cities of Australia,Melbourne - South East,Casey,Local Road,20232035
20231243_NSW_Inner Regional Australia_Richmond - Tweed_Lismore_Arterial Road,NSW,Inner Regional Australia,Richmond - Tweed,Lismore,Arterial Road,20231243
20233065_QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Local Road,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Local Road,20233065
20233203_QLD_Inner Regional Australia_Toowoomba_Toowoomba_National or State Highway,QLD,Inner Regional Australia,Toowoomba,Toowoomba,National or State Highway,20233203
20233148_QLD_Inner Regional Australia_Mackay - Isaac - Whitsunday_Mackay_National or State Highway,QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,National or State Highway,20233148
20234089_SA_Inner Regional Australia_South Australia - South East_Murray Bridge_National or State Highway,SA,Inner Regional Australia,South Australia - South East,Murray Bridge,National or State Highway,20234089
20233172_QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Collector Road,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Collector Road,20233172
20231260_NSW_Inner Regional Australia_Mid North Coast_Nambucca Valley_National or State Highway,NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,National or State Highway,20231260
20233256_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Sub-arterial Road,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Sub-arterial Road,20233256
20234102_SA_Very Remote Australia_South Australia - Outback_Unincorporated SA_National or State Highway,SA,Very Remote Australia,South Australia - Outback,Unincorporated SA,National or State Highway,20234102
20231236_NSW_Outer Regional Australia_Central West_Mid-Western_National or State Highway,NSW,Outer Regional Australia,Central West,Mid-Western,National or State Highway,20231236
20233186_QLD_Inner Regional Australia_Wide Bay_Gympie_National or State Highway,QLD,Inner Regional Australia,Wide Bay,Gympie,National or State Highway,20233186
20231228_NSW_Remote Australia_Far West and Orana_Coonamble_Sub-arterial Road,NSW,Remote Australia,Far West and Orana,Coonamble,Sub-arterial Road,20231228
20232209_VIC_Major Cities of Australia_Mornington Peninsula_Mornington Peninsula_Sub-arterial Road,VIC,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Sub-arterial Road,20232209
20234044_SA_Outer Regional Australia_South Australia - South East_Coorong_National or State Highway,SA,Outer Regional Australia,South Australia - South East,Coorong,National or State Highway,20234044
20233072_QLD_Inner Regional Australia_Central Queensland_Gladstone_Sub-arterial Road,QLD,Inner Regional Australia,Central Queensland,Gladstone,Sub-arterial Road,20233072
20231122_NSW_Inner Regional Australia_Riverina_Wagga Wagga_Arterial Road,NSW,Inner Regional Australia,Riverina,Wagga Wagga,Arterial Road,20231122
20233179_QLD_Outer Regional Australia_Darling Downs - Maranoa_Goondiwindi_Sub-arterial Road,QLD,Outer Regional Australia,Darling Downs - Maranoa,Goondiwindi,Sub-arterial Road,20233179
20233192_QLD_Outer Regional Australia_Cairns_Cairns_Local Road,QLD,Outer Regional Australia,Cairns,Cairns,Local Road,20233192
20232052_VIC_Major Cities of Australia_Melbourne - Outer East_Yarra Ranges_Arterial Road,VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Arterial Road,20232052
20234078_SA_Major Cities of Australia_Adelaide - Central and Hills_Adelaide_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,Sub-arterial Road,20234078
20232260_VIC_Inner Regional Australia_Latrobe - Gippsland_Wellington_Sub-arterial Road,VIC,Inner Regional Australia,Latrobe - Gippsland,Wellington,Sub-arterial Road,20232260
20233112_QLD_Remote Australia_Mackay - Isaac - Whitsunday_Isaac_National or State Highway,QLD,Remote Australia,Mackay - Isaac - Whitsunday,Isaac,National or State Highway,20233112
20233083_QLD_Inner Regional Australia_Darling Downs - Maranoa_Toowoomba_Local Road,QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,Local Road,20233083
20233197_QLD_Inner Regional Australia_Ipswich_Scenic Rim_Sub-arterial Road,QLD,Inner Regional Australia,Ipswich,Scenic Rim,Sub-arterial Road,20233197
20232080_VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges_Sub-arterial Road,VIC,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges,Sub-arterial Road,20232080
20231084_NSW_Inner Regional Australia_Murray_Albury_National or State Highway,NSW,Inner Regional Australia,Murray,Albury,National or State Highway,20231084
20233199_QLD_Outer Regional Australia_Cairns_Cassowary Coast_National or State Highway,QLD,Outer Regional Australia,Cairns,Cassowary Coast,National or State Highway,20233199
20234022_SA_Very Remote Australia_South Australia - Outback_Wudinna_National or State Highway,SA,Very Remote Australia,South Australia - Outback,Wudinna,National or State Highway,20234022
20233113_QLD_Very Remote Australia_Queensland - Outback_Murweh_Sub-arterial Road,QLD,Very Remote Australia,Queensland - Outback,Murweh,Sub-arterial Road,20233113
20231273_NSW_Outer Regional Australia_Mid North Coast_Kempsey_Arterial Road,NSW,Outer Regional Australia,Mid North Coast,Kempsey,Arterial Road,20231273
20236032_TAS_Inner Regional Australia_Hobart_Clarence_National or State Highway,TAS,Inner Regional Australia,Hobart,Clarence,National or State Highway,20236032
20233137_QLD_Inner Regional Australia_Wide Bay_Fraser Coast_Local Road,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Local Road,20233137
20232085_VIC_Major Cities of Australia_Melbourne - North East_Whittlesea_Collector Road,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,Collector Road,20232085
20231266_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Port Stephens_National or State Highway,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,National or State Highway,20231266
20233151_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Sub-arterial Road,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Sub-arterial Road,20233151
20233116_QLD_Inner Regional Australia_Logan - Beaudesert_Scenic Rim_Sub-arterial Road,QLD,Inner Regional Australia,Logan - Beaudesert,Scenic Rim,Sub-arterial Road,20233116
20231295_NSW_Major Cities of Australia_Sydney - Ryde_Ryde_National or State Highway,NSW,Major Cities of Australia,Sydney - Ryde,Ryde,National or State Highway,20231295
20233127_QLD_Major Cities of Australia_Gold Coast_Gold Coast_National or State Highway,QLD,Major Cities of Australia,Gold Coast,Gold Coast,National or State Highway,20233127
20231024_NSW_Outer Regional Australia_Capital Region_Eurobodalla_National or State Highway,NSW,Outer Regional Australia,Capital Region,Eurobodalla,National or State Highway,20231024
20231279_NSW_Inner Regional Australia_Richmond - Tweed_Lismore_Arterial Road,NSW,Inner Regional Australia,Richmond - Tweed,Lismore,Arterial Road,20231279
20233011_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Local Road,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,20233011
20234086_SA_Outer Regional Australia_South Australia - South East_Renmark Paringa_Sub-arterial Road,SA,Outer Regional Australia,South Australia - South East,Renmark Paringa,Sub-arterial Road,20234086
20234058_SA_Outer Regional Australia_South Australia - South East_Loxton Waikerie_National or State Highway,SA,Outer Regional Australia,South Australia - South East,Loxton Waikerie,National or State Highway,20234058
20231061_NSW_Inner Regional Australia_Murray_Federation_Local Road,NSW,Inner Regional Australia,Murray,Federation,Local Road,20231061
20231016_NSW_Inner Regional Australia_Mid North Coast_Kempsey_Local Road,NSW,Inner Regional Australia,Mid North Coast,Kempsey,Local Road,20231016
20236010_TAS_Outer Regional Australia_West and North West_Central Coast (Tas.)_National or State Highway,TAS,Outer Regional Australia,West and North West,Central Coast (Tas.),National or State Highway,20236010
20233130_QLD_Inner Regional Australia_Ipswich_Somerset_Sub-arterial Road,QLD,Inner Regional Australia,Ipswich,Somerset,Sub-arterial Road,20233130
20236024_TAS_Inner Regional Australia_Hobart_Clarence_National or State Highway,TAS,Inner Regional Australia,Hobart,Clarence,National or State Highway,20236024
20234055_SA_Inner Regional Australia_Adelaide - North_Playford_Collector Road,SA,Inner Regional Australia,Adelaide - North,Playford,Collector Road,20234055
20233173_QLD_Inner Regional Australia_Wide Bay_Fraser Coast_Sub-arterial Road,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Sub-arterial Road,20233173
20233071_QLD_Inner Regional Australia_Wide Bay_Bundaberg_Sub-arterial Road,QLD,Inner Regional Australia,Wide Bay,Bundaberg,Sub-arterial Road,20233071
20231241_NSW_Inner Regional Australia_Central West_Orange_National or State Highway,NSW,Inner Regional Australia,Central West,Orange,National or State Highway,20231241
20233054_QLD_Major Cities of Australia_Brisbane Inner City_Brisbane_Local Road,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Local Road,20233054
20231048_NSW_Outer Regional Australia_Murray_Berrigan_Arterial Road,NSW,Outer Regional Australia,Murray,Berrigan,Arterial Road,20231048
20232180_VIC_Major Cities of Australia_Melbourne - South East_Casey_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - South East,Casey,Sub-arterial Road,20232180
20231284_NSW_Inner Regional Australia_Mid North Coast_Port Macquarie-Hastings_National or State Highway,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,20231284
20231222_NSW_Inner Regional Australia_Mid North Coast_Port Macquarie-Hastings_National or State Highway,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,20231222
20233235_QLD_Major Cities of Australia_Brisbane - West_Brisbane_Sub-arterial Road,QLD,Major Cities of Australia,Brisbane - West,Brisbane,Sub-arterial Road,20233235
20233243_QLD_Outer Regional Australia_Wide Bay_Bundaberg_National or State Highway,QLD,Outer Regional Australia,Wide Bay,Bundaberg,National or State Highway,20233243
20232102_VIC_Major Cities of Australia_Melbourne - North East_Darebin_Arterial Road,VIC,Major Cities of Australia,Melbourne - North East,Darebin,Arterial Road,20232102
20233062_QLD_Inner Regional Australia_Wide Bay_Bundaberg_Local Road,QLD,Inner Regional Australia,Wide Bay,Bundaberg,Local Road,20233062
20233242_QLD_Major Cities of Australia_Brisbane - North_Brisbane_Collector Road,QLD,Major Cities of Australia,Brisbane - North,Brisbane,Collector Road,20233242
20234051_SA_Major Cities of Australia_Adelaide - Central and Hills_Norwood Payneham and St Peters_Local Road,SA,Major Cities of Australia,Adelaide - Central and Hills,Norwood Payneham and St Peters,Local Road,20234051
20233034_QLD_Inner Regional Australia_Toowoomba_Toowoomba_Local Road,QLD,Inner Regional Australia,Toowoomba,Toowoomba,Local Road,20233034
20231247_NSW_Inner Regional Australia_Southern Highlands and Shoalhaven_Shoalhaven_Local Road,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Local Road,20231247
20231072_NSW_Inner Regional Australia_Southern Highlands and Shoalhaven_Shoalhaven_National or State Highway,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,National or State Highway,20231072
20231125_NSW_Major Cities of Australia_Sydney - City and Inner South_Sydney_Arterial Road,NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Arterial Road,20231125
20231032_NSW_Inner Regional Australia_Capital Region_Yass Valley_National or State Highway,NSW,Inner Regional Australia,Capital Region,Yass Valley,National or State Highway,20231032
20236008_TAS_Outer Regional Australia_Hobart_Sorell_National or State Highway,TAS,Outer Regional Australia,Hobart,Sorell,National or State Highway,20236008
20231293_NSW_Outer Regional Australia_Coffs Harbour - Grafton_Clarence Valley_Arterial Road,NSW,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,20231293
20231065_NSW_Inner Regional Australia_Central West_Lithgow_National or State Highway,NSW,Inner Regional Australia,Central West,Lithgow,National or State Highway,20231065
20234002_SA_Major Cities of Australia_Adelaide - North_Salisbury_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - North,Salisbury,Sub-arterial Road,20234002
20231063_NSW_Major Cities of Australia_Sydney - City and Inner South_Sydney_Local Road,NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Local Road,20231063
20233226_QLD_Major Cities of Australia_Ipswich_Ipswich_National or State Highway,QLD,Major Cities of Australia,Ipswich,Ipswich,National or State Highway,20233226
20234088_SA_Major Cities of Australia_Adelaide - West_West Torrens_Arterial Road,SA,Major Cities of Australia,Adelaide - West,West Torrens,Arterial Road,20234088
20233106_QLD_Major Cities of Australia_Ipswich_Ipswich_Collector Road,QLD,Major Cities of Australia,Ipswich,Ipswich,Collector Road,20233106
20231191_NSW_Inner Regional Australia_Capital Region_Goulburn Mulwaree_National or State Highway,NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,National or State Highway,20231191
20233215_QLD_Outer Regional Australia_Townsville_Townsville_Collector Road,QLD,Outer Regional Australia,Townsville,Townsville,Collector Road,20233215
20231137_NSW_Inner Regional Australia_Capital Region_Snowy Monaro_National or State Highway,NSW,Inner Regional Australia,Capital Region,Snowy Monaro,National or State Highway,20231137
20232208_VIC_Major Cities of Australia_Melbourne - Inner_Moonee Valley_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - Inner,Moonee Valley,Sub-arterial Road,20232208
20231176_NSW_Inner Regional Australia_Capital Region_Queanbeyan-Palerang_Arterial Road,NSW,Inner Regional Australia,Capital Region,Queanbeyan-Palerang,Arterial Road,20231176
20231217_NSW_Inner Regional Australia_New England and North West_Tamworth_Local Road,NSW,Inner Regional Australia,New England and North West,Tamworth,Local Road,20231217
20232207_VIC_Major Cities of Australia_Melbourne - South East_Cardinia_National or State Highway,VIC,Major Cities of Australia,Melbourne - South East,Cardinia,National or State Highway,20232207
20231298_NSW_Major Cities of Australia_Capital Region_Yass Valley_National or State Highway,NSW,Major Cities of Australia,Capital Region,Yass Valley,National or State Highway,20231298
20232043_VIC_Major Cities of Australia_Melbourne - Outer East_Yarra Ranges_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Sub-arterial Road,20232043
20232238_VIC_Major Cities of Australia_Melbourne - West_Wyndham_Arterial Road,VIC,Major Cities of Australia,Melbourne - West,Wyndham,Arterial Road,20232238
20233026_QLD_Outer Regional Australia_Townsville_Townsville_Sub-arterial Road,QLD,Outer Regional Australia,Townsville,Townsville,Sub-arterial Road,20233026
20237007_NT_Very Remote Australia_Northern Territory - Outback_MacDonnell_Sub-arterial Road,NT,Very Remote Australia,Northern Territory - Outback,MacDonnell,Sub-arterial Road,20237007
20231142_NSW_Major Cities of Australia_Sydney - Parramatta_Cumberland_Collector Road,NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,Collector Road,20231142
20231290_NSW_Major Cities of Australia_Richmond - Tweed_Tweed_Local Road,NSW,Major Cities of Australia,Richmond - Tweed,Tweed,Local Road,20231290
20231154_NSW_Major Cities of Australia_Sydney - Parramatta_Cumberland_Collector Road,NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,Collector Road,20231154
20231002_NSW_Inner Regional Australia_Riverina_Wagga Wagga_National or State Highway,NSW,Inner Regional Australia,Riverina,Wagga Wagga,National or State Highway,20231002
20231015_NSW_Outer Regional Australia_Central West_Cabonne_Arterial Road,NSW,Outer Regional Australia,Central West,Cabonne,Arterial Road,20231015
20233033_QLD_Outer Regional Australia_Cairns_Cairns_Sub-arterial Road,QLD,Outer Regional Australia,Cairns,Cairns,Sub-arterial Road,20233033
20234101_SA_Major Cities of Australia_Adelaide - South_Onkaparinga_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Sub-arterial Road,20234101
20233046_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Sub-arterial Road,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Sub-arterial Road,20233046
20236018_TAS_Outer Regional Australia_Launceston and North East_George Town_National or State Highway,TAS,Outer Regional Australia,Launceston and North East,George Town,National or State Highway,20236018
20231004_NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway,NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway,20231004
20231066_NSW_Inner Regional Australia_Sydney - Outer South West_Wollondilly_National or State Highway,NSW,Inner Regional Australia,Sydney - Outer South West,Wollondilly,National or State Highway,20231066
20232129_VIC_Inner Regional Australia_Hume_Wangaratta_Arterial Road,VIC,Inner Regional Australia,Hume,Wangaratta,Arterial Road,20232129
20232228_VIC_Major Cities of Australia_Melbourne - North East_Banyule_Sub-arterial Road,VIC,Major Cities of Australia,Melbourne - North East,Banyule,Sub-arterial Road,20232228
20233107_QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_National or State Highway,QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,National or State Highway,20233107
20233141_QLD_Inner Regional Australia_Wide Bay_Fraser Coast_Sub-arterial Road,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Sub-arterial Road,20233141
20234070_SA_Major Cities of Australia_Adelaide - North_Salisbury_National or State Highway,SA,Major Cities of Australia,Adelaide - North,Salisbury,National or State Highway,20234070
20231124_NSW_Major Cities of Australia_Sydney - Inner South West_Canterbury-Bankstown_Collector Road,NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Collector Road,20231124
20233009_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Local Road,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Local Road,20233009
20233091_QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Sub-arterial Road,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Sub-arterial Road,20233091
20231081_NSW_Inner Regional Australia_Richmond - Tweed_Richmond Valley_Local Road,NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Local Road,20231081
20231131_NSW_Outer Regional Australia_Capital Region_Snowy Monaro_Arterial Road,NSW,Outer Regional Australia,Capital Region,Snowy Monaro,Arterial Road,20231131
20233086_QLD_Inner Regional Australia_Wide Bay_Bundaberg_National or State Highway,QLD,Inner Regional Australia,Wide Bay,Bundaberg,National or State Highway,20233086
20232032_VIC_Inner Regional Australia_Shepparton_Moira_National or State Highway,VIC,Inner Regional Australia,Shepparton,Moira,National or State Highway,20232032
20231203_NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_Hawkesbury_Local Road,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Local Road,20231203
20231148_NSW_Major Cities of Australia_Sydney - Inner South West_Canterbury-Bankstown_Local Road,NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Local Road,20231148
20233248_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Collector Road,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Collector Road,20233248
20231050_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_National or State Highway,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),National or State Highway,20231050
20232159_VIC_Major Cities of Australia_Mornington Peninsula_Frankston_National or State Highway,VIC,Major Cities of Australia,Mornington Peninsula,Frankston,National or State Highway,20232159
20232029_VIC_Inner Regional Australia_Bendigo_Greater Bendigo_Local Road,VIC,Inner Regional Australia,Bendigo,Greater Bendigo,Local Road,20232029
20233230_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Collector Road,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Collector Road,20233230
20234104_SA_Major Cities of Australia_Adelaide - South_Marion_Collector Road,SA,Major Cities of Australia,Adelaide - South,Marion,Collector Road,20234104
20231192_NSW_Major Cities of Australia_Sydney - Inner South West_Canterbury-Bankstown_Local Road,NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Local Road,20231192
20234098_SA_Major Cities of Australia_Adelaide - North_Salisbury_National or State Highway,SA,Major Cities of Australia,Adelaide - North,Salisbury,National or State Highway,20234098
20231132_NSW_Outer Regional Australia_Riverina_Leeton_Local Road,NSW,Outer Regional Australia,Riverina,Leeton,Local Road,20231132
20233042_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Local Road,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,20233042
20231224_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road,20231224
20231003_NSW_Remote Australia_Murray_Balranald_Arterial Road,NSW,Remote Australia,Murray,Balranald,Arterial Road,20231003
20233064_QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Whitsunday_Sub-arterial Road,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,Sub-arterial Road,20233064
20231254_NSW_Inner Regional Australia_Mid North Coast_Port Macquarie-Hastings_Arterial Road,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Arterial Road,20231254
20233060_QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay_Sub-arterial Road,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,Sub-arterial Road,20233060
20233061_QLD_Inner Regional Australia_Logan - Beaudesert_Scenic Rim_Sub-arterial Road,QLD,Inner Regional Australia,Logan - Beaudesert,Scenic Rim,Sub-arterial Road,20233061
20233115_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_National or State Highway,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,National or State Highway,20233115
20233260_QLD_Inner Regional Australia_Darling Downs - Maranoa_Toowoomba_Sub-arterial Road,QLD,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,Sub-arterial Road,20233260
20233227_QLD_Outer Regional Australia_Cairns_Tablelands_National or State Highway,QLD,Outer Regional Australia,Cairns,Tablelands,National or State Highway,20233227
20231230_NSW_Inner Regional Australia_Richmond - Tweed_Byron_National or State Highway,NSW,Inner Regional Australia,Richmond - Tweed,Byron,National or State Highway,20231230
20236020_TAS_Outer Regional Australia_Launceston and North East_Dorset_Arterial Road,TAS,Outer Regional Australia,Launceston and North East,Dorset,Arterial Road,20236020
20234019_SA_Major Cities of Australia_Adelaide - Central and Hills_Adelaide_Arterial Road,SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,Arterial Road,20234019
20234096_SA_Major Cities of Australia_Adelaide - West_Charles Sturt_Sub-arterial Road,SA,Major Cities of Australia,Adelaide - West,Charles Sturt,Sub-arterial Road,20234096
20231232_NSW_Major Cities of Australia_Sydney - Parramatta_Parramatta_Collector Road,NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,Collector Road,20231232
20234064_SA_Remote Australia_South Australia - Outback_Unincorporated SA_National or State Highway,SA,Remote Australia,South Australia - Outback,Unincorporated SA,National or State Highway,20234064
20232117_VIC_Inner Regional Australia_Shepparton_Campaspe_Arterial Road,VIC,Inner Regional Australia,Shepparton,Campaspe,Arterial Road,20232117
20231054_NSW_Major Cities of Australia_Sydney - City and Inner South_Sydney_Arterial Road,NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,Arterial Road,20231054
20233049_QLD_Inner Regional Australia_Gold Coast_Scenic Rim_Sub-arterial Road,QLD,Inner Regional Australia,Gold Coast,Scenic Rim,Sub-arterial Road,20233049
20234093_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa_Collector Road,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Collector Road,20234093
20231287_NSW_Major Cities of Australia_Sydney - Eastern Suburbs_Randwick_Local Road,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Local Road,20231287
20231299_NSW_Major Cities of Australia_Hunter Valley exc Newcastle_Maitland_Local Road,NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Maitland,Local Road,20231299
20233244_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Local Road,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Local Road,20233244
20231179_NSW_Inner Regional Australia_Richmond - Tweed_Kyogle_Arterial Road,NSW,Inner Regional Australia,Richmond - Tweed,Kyogle,Arterial Road,20231179
20231267_NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Newcastle_National or State Highway,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,National or State Highway,20231267
20231265_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road,20231265
20233084_QLD_Major Cities of Australia_Moreton Bay - South_Moreton Bay_Sub-arterial Road,QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,Sub-arterial Road,20233084
20231269_NSW_Major Cities of Australia_Sydney - Outer South West_Campbelltown (NSW)_National or State Highway,NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),National or State Highway,20231269
20233025_QLD_Major Cities of Australia_Ipswich_Brisbane_National or State Highway,QLD,Major Cities of Australia,Ipswich,Brisbane,National or State Highway,20233025
20234037_SA_Outer Regional Australia_South Australia - South East_Renmark Paringa_National or State Highway,SA,Outer Regional Australia,South Australia - South East,Renmark Paringa,National or State Highway,20234037
20234030_SA_Major Cities of Australia_Adelaide - North_Salisbury_Arterial Road,SA,Major Cities of Australia,Adelaide - North,Salisbury,Arterial Road,20234030
20231144_NSW_Major Cities of Australia_Sydney - Ryde_Parramatta_Local Road,NSW,Major Cities of Australia,Sydney - Ryde,Parramatta,Local Road,20231144
20233207_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Local Road,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,20233207
20234060_SA_Major Cities of Australia_Adelaide - South_Onkaparinga_Collector Road,SA,Major Cities of Australia,Adelaide - South,Onkaparinga,Collector Road,20234060
20233099_QLD_Outer Regional Australia_Cairns_Cairns_Collector Road,QLD,Outer Regional Australia,Cairns,Cairns,Collector Road,20233099
20232014_VIC_Major Cities of Australia_Melbourne - North West_Hume_National or State Highway,VIC,Major Cities of Australia,Melbourne - North West,Hume,National or State Highway,20232014
20231216_NSW_Inner Regional Australia_New England and North West_Tamworth_Arterial Road,NSW,Inner Regional Australia,New England and North West,Tamworth,Arterial Road,20231216
20234069_SA_Major Cities of Australia_Adelaide - Central and Hills_Adelaide_Access road,SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,Access road,20234069
20231172_NSW_Outer Regional Australia_New England and North West_Inverell_Sub-arterial Road,NSW,Outer Regional Australia,New England and North West,Inverell,Sub-arterial Road,20231172
20233177_QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_Local Road,QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,Local Road,20233177
20232064_VIC_Inner Regional Australia_Shepparton_Moira_National or State Highway,VIC,Inner Regional Australia,Shepparton,Moira,National or State Highway,20232064
20231120_NSW_Inner Regional Australia_Coffs Harbour - Grafton_Coffs Harbour_Arterial Road,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Arterial Road,20231120
20231030_NSW_Outer Regional Australia_Mid North Coast_Port Macquarie-Hastings_National or State Highway,NSW,Outer Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,20231030
