locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20244023_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa_Sub-arterial Road,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Sub-arterial Road,20244023
20241098_NSW_Inner Regional Australia_Mid North Coast_Nambucca Valley_Sub-arterial Road,NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,Sub-arterial Road,20241098
20243114_QLD_Remote Australia_Queensland - Outback_Cook_Sub-arterial Road,QLD,Remote Australia,Queensland - Outback,Cook,Sub-arterial Road,20243114
20241040_NSW_Outer Regional Australia_New England and North West_Tenterfield_National or State Highway,NSW,Outer Regional Australia,New England and North West,Tenterfield,National or State Highway,20241040
20241174_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road,20241174
20241088_NSW_Outer Regional Australia_New England and North West_Tamworth_Arterial Road,NSW,Outer Regional Australia,New England and North West,Tamworth,Arterial Road,20241088
20241255_NSW_Inner Regional Australia_Capital Region_Hilltops_Arterial Road,NSW,Inner Regional Australia,Capital Region,Hilltops,Arterial Road,20241255
20241053_NSW_Outer Regional Australia_Central West_Forbes_Arterial Road,NSW,Outer Regional Australia,Central West,Forbes,Arterial Road,20241053
20243046_QLD_Inner Regional Australia_Toowoomba_Toowoomba_Collector Road,QLD,Inner Regional Australia,Toowoomba,Toowoomba,Collector Road,20243046
20241080_NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Lake Macquarie_Arterial Road,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road,20241080
20243044_QLD_Remote Australia_Central Queensland_Livingstone_National or State Highway,QLD,Remote Australia,Central Queensland,Livingstone,National or State Highway,20243044
20241274_NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_National or State Highway,NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,National or State Highway,20241274
20243176_QLD_Outer Regional Australia_Cairns_Cairns_Collector Road,QLD,Outer Regional Australia,Cairns,Cairns,Collector Road,20243176
20241181_NSW_Outer Regional Australia_Murray_Balranald_National or State Highway,NSW,Outer Regional Australia,Murray,Balranald,National or State Highway,20241181
20243110_QLD_Very Remote Australia_Queensland - Outback_Lockhart River_Local Road,QLD,Very Remote Australia,Queensland - Outback,Lockhart River,Local Road,20243110
20244044_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Light_Sub-arterial Road,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light,Sub-arterial Road,20244044
20243147_QLD_Outer Regional Australia_Cairns_Cassowary Coast_National or State Highway,QLD,Outer Regional Australia,Cairns,Cassowary Coast,National or State Highway,20243147
20244019_SA_Remote Australia_South Australia - Outback_Tumby Bay_Collector Road,SA,Remote Australia,South Australia - Outback,Tumby Bay,Collector Road,20244019
20241194_NSW_Major Cities of Australia_Sydney - South West_Liverpool_Arterial Road,NSW,Major Cities of Australia,Sydney - South West,Liverpool,Arterial Road,20241194
20241139_NSW_Major Cities of Australia_Sydney - Parramatta_Cumberland_Local Road,NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,Local Road,20241139
20241197_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Muswellbrook_National or State Highway,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,National or State Highway,20241197
20243220_QLD_Outer Regional Australia_Cairns_Cassowary Coast_Collector Road,QLD,Outer Regional Australia,Cairns,Cassowary Coast,Collector Road,20243220
20243267_QLD_Inner Regional Australia_Moreton Bay - North_Moreton Bay_National or State Highway,QLD,Inner Regional Australia,Moreton Bay - North,Moreton Bay,National or State Highway,20243267
20241057_NSW_Inner Regional Australia_Richmond - Tweed_Ballina_National or State Highway,NSW,Inner Regional Australia,Richmond - Tweed,Ballina,National or State Highway,20241057
20243174_QLD_Inner Regional Australia_Logan - Beaudesert_Logan_National or State Highway,QLD,Inner Regional Australia,Logan - Beaudesert,Logan,National or State Highway,20243174
20241166_NSW_Inner Regional Australia_Richmond - Tweed_Kyogle_Sub-arterial Road,NSW,Inner Regional Australia,Richmond - Tweed,Kyogle,Sub-arterial Road,20241166
20243213_QLD_Inner Regional Australia_Wide Bay_Bundaberg_National or State Highway,QLD,Inner Regional Australia,Wide Bay,Bundaberg,National or State Highway,20243213
20241096_NSW_Outer Regional Australia_New England and North West_Tenterfield_National or State Highway,NSW,Outer Regional Australia,New England and North West,Tenterfield,National or State Highway,20241096
20242089_VIC_Major Cities of Australia_Melbourne - Inner_Melbourne_Arterial Road,VIC,Major Cities of Australia,Melbourne - Inner,Melbourne,Arterial Road,20242089
20243073_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Sub-arterial Road,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Sub-arterial Road,20243073
20241027_NSW_Outer Regional Australia_Riverina_Snowy Valleys_National or State Highway,NSW,Outer Regional Australia,Riverina,Snowy Valleys,National or State Highway,20241027
20241163_NSW_Outer Regional Australia_New England and North West_Tamworth_Sub-arterial Road,NSW,Outer Regional Australia,New England and North West,Tamworth,Sub-arterial Road,20241163
20243143_QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Whitsunday_Local Road,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,Local Road,20243143
20241222_NSW_Major Cities of Australia_Sydney - South West_Fairfield_National or State Highway,NSW,Major Cities of Australia,Sydney - South West,Fairfield,National or State Highway,20241222
20241218_NSW_Inner Regional Australia_Capital Region_Yass Valley_National or State Highway,NSW,Inner Regional Australia,Capital Region,Yass Valley,National or State Highway,20241218
20243249_QLD_Remote Australia_Central Queensland_Central Highlands (Qld)_Collector Road,QLD,Remote Australia,Central Queensland,Central Highlands (Qld),Collector Road,20243249
