locationId,state,nationalRemoteAreas,sa4Name,lgaName,crashId
NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Lake Macquarie,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,20241080
QLD_Remote Australia_Central Queensland_Livingstone,QLD,Remote Australia,Central Queensland,Livingstone,20243044
NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown,NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,20241274
NSW_Outer Regional Australia_Murray_Balranald,NSW,Outer Regional Australia,Murray,Balranald,20241181
QLD_Very Remote Australia_Queensland - Outback_Lockhart River,QLD,Very Remote Australia,Queensland - Outback,Lockhart River,20243110
SA_Inner Regional Australia_Barossa - Yorke - Mid North_Light,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Light,20244044
QLD_Outer Regional Australia_Cairns_Cassowary Coast,QLD,Outer Regional Australia,Cairns,Cassowary Coast,20243147
SA_Remote Australia_South Australia - Outback_Tumby Bay,SA,Remote Australia,South Australia - Outback,Tumby Bay,20244019
NSW_Major Cities of Australia_Sydney - South West_Liverpool,NSW,Major Cities of Australia,Sydney - South West,Liverpool,20241194
NSW_Major Cities of Australia_Sydney - Parramatta_Cumberland,NSW,Major Cities of Australia,Sydney - Parramatta,Cumberland,20241139
NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Muswellbrook,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Muswellbrook,20241197
QLD_Inner Regional Australia_Moreton Bay - North_Moreton Bay,QLD,Inner Regional Australia,Moreton Bay - North,Moreton Bay,20243267
NSW_Inner Regional Australia_Richmond - Tweed_Ballina,NSW,Inner Regional Australia,Richmond - Tweed,Ballina,20241057
NSW_Inner Regional Australia_Richmond - Tweed_Kyogle,NSW,Inner Regional Australia,Richmond - Tweed,Kyogle,20241166
QLD_Inner Regional Australia_Wide Bay_Bundaberg,QLD,Inner Regional Australia,Wide Bay,Bundaberg,20243213
VIC_Major Cities of Australia_Melbourne - Inner_Melbourne,VIC,Major Cities of Australia,Melbourne - Inner,Melbourne,20242089
QLD_Major Cities of Australia_Brisbane - South_Brisbane,QLD,Major Cities of Australia,Brisbane - South,Brisbane,20243073
NSW_Outer Regional Australia_Riverina_Snowy Valleys,NSW,Outer Regional Australia,Riverina,Snowy Valleys,20241027
QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Whitsunday,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,20243143
NSW_Major Cities of Australia_Sydney - South West_Fairfield,NSW,Major Cities of Australia,Sydney - South West,Fairfield,20241222
NSW_Inner Regional Australia_Capital Region_Yass Valley,NSW,Inner Regional Australia,Capital Region,Yass Valley,20241218
QLD_Remote Australia_Central Queensland_Central Highlands (Qld),QLD,Remote Australia,Central Queensland,Central Highlands (Qld),20243249
NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_The Hills,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,20241306
SA_Major Cities of Australia_Adelaide - North_Salisbury,SA,Major Cities of Australia,Adelaide - North,Salisbury,20244083
NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Port Stephens,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Port Stephens,20241196
VIC_Inner Regional Australia_Melbourne - North West_Macedon Ranges,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,20242023
VIC_Inner Regional Australia_Warrnambool and South West_Moyne,VIC,Inner Regional Australia,Warrnambool and South West,Moyne,20242230
VIC_Major Cities of Australia_Melbourne - South East_Cardinia,VIC,Major Cities of Australia,Melbourne - South East,Cardinia,20242127
VIC_Outer Regional Australia_Latrobe - Gippsland_East Gippsland,VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,20242120
NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_Hornsby,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hornsby,20241230
VIC_Major Cities of Australia_Melbourne - North East_Whittlesea,VIC,Major Cities of Australia,Melbourne - North East,Whittlesea,20242260
QLD_Very Remote Australia_Queensland - Outback_Mareeba,QLD,Very Remote Australia,Queensland - Outback,Mareeba,20243153
NSW_Inner Regional Australia_Mid North Coast_Mid-Coast,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,20241236
QLD_Inner Regional Australia_Central Queensland_Rockhampton,QLD,Inner Regional Australia,Central Queensland,Rockhampton,20243172
QLD_Inner Regional Australia_Ipswich_Ipswich,QLD,Inner Regional Australia,Ipswich,Ipswich,20243191
VIC_Outer Regional Australia_Warrnambool and South West_Glenelg,VIC,Outer Regional Australia,Warrnambool and South West,Glenelg,20242019
QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs,QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,20243041
SA_Major Cities of Australia_Adelaide - West_Port Adelaide Enfield,SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,20244021
NSW_Outer Regional Australia_Central West_Cabonne,NSW,Outer Regional Australia,Central West,Cabonne,20241107
QLD_Major Cities of Australia_Gold Coast_Gold Coast,QLD,Major Cities of Australia,Gold Coast,Gold Coast,20243022
ACT_Major Cities of Australia_Australian Capital Territory_Unincorporated ACT,ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,20248002
VIC_Major Cities of Australia_Mornington Peninsula_Frankston,VIC,Major Cities of Australia,Mornington Peninsula,Frankston,20242088
NSW_Outer Regional Australia_New England and North West_Moree Plains,NSW,Outer Regional Australia,New England and North West,Moree Plains,20241173
NSW_Major Cities of Australia_Sydney - Parramatta_Parramatta,NSW,Major Cities of Australia,Sydney - Parramatta,Parramatta,20241004
TAS_Outer Regional Australia_Launceston and North East_Meander Valley,TAS,Outer Regional Australia,Launceston and North East,Meander Valley,20246004
NSW_Major Cities of Australia_Capital Region_Queanbeyan-Palerang,NSW,Major Cities of Australia,Capital Region,Queanbeyan-Palerang,20241201
NSW_Outer Regional Australia_Capital Region_Snowy Monaro,NSW,Outer Regional Australia,Capital Region,Snowy Monaro,20241029
NSW_Outer Regional Australia_Murray_Federation,NSW,Outer Regional Australia,Murray,Federation,20241215
QLD_Major Cities of Australia_Brisbane Inner City_Brisbane,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,20243208
NSW_Inner Regional Australia_Central West_Cowra,NSW,Inner Regional Australia,Central West,Cowra,20241263
NSW_Inner Regional Australia_Capital Region_Goulburn Mulwaree,NSW,Inner Regional Australia,Capital Region,Goulburn Mulwaree,20241302
QLD_Major Cities of Australia_Moreton Bay - South_Moreton Bay,QLD,Major Cities of Australia,Moreton Bay - South,Moreton Bay,20243248
QLD_Inner Regional Australia_Wide Bay_Gympie,QLD,Inner Regional Australia,Wide Bay,Gympie,20243096
NSW_Major Cities of Australia_Sydney - North Sydney and Hornsby_Willoughby,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,20241150
NSW_Inner Regional Australia_Capital Region_Shoalhaven,NSW,Inner Regional Australia,Capital Region,Shoalhaven,20241247
NSW_Inner Regional Australia_Capital Region_Queanbeyan-Palerang,NSW,Inner Regional Australia,Capital Region,Queanbeyan-Palerang,20241234
VIC_Inner Regional Australia_Bendigo_Greater Bendigo,VIC,Inner Regional Australia,Bendigo,Greater Bendigo,20242110
VIC_Inner Regional Australia_Melbourne - North East_Nillumbik,VIC,Inner Regional Australia,Melbourne - North East,Nillumbik,20242052
NSW_Inner Regional Australia_Illawarra_Wollongong,NSW,Inner Regional Australia,Illawarra,Wollongong,20241235
QLD_Inner Regional Australia_Wide Bay_South Burnett,QLD,Inner Regional Australia,Wide Bay,South Burnett,20243087
SA_Remote Australia_South Australia - South East_Tatiara,SA,Remote Australia,South Australia - South East,Tatiara,20244061
NSW_Inner Regional Australia_Richmond - Tweed_Tweed,NSW,Inner Regional Australia,Richmond - Tweed,Tweed,20241009
NSW_Outer Regional Australia_Mid North Coast_Mid-Coast,NSW,Outer Regional Australia,Mid North Coast,Mid-Coast,20241072
QLD_Major Cities of Australia_Ipswich_Ipswich,QLD,Major Cities of Australia,Ipswich,Ipswich,20243129
VIC_Inner Regional Australia_North West_Ararat,VIC,Inner Regional Australia,North West,Ararat,20242219
VIC_Inner Regional Australia_Warrnambool and South West_Colac Otway,VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,20242075
QLD_Very Remote Australia_Queensland - Outback_McKinlay,QLD,Very Remote Australia,Queensland - Outback,McKinlay,20243079
NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Singleton,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,20241045
QLD_Outer Regional Australia_Central Queensland_Gladstone,QLD,Outer Regional Australia,Central Queensland,Gladstone,20243017
NSW_Inner Regional Australia_Central West_Lithgow,NSW,Inner Regional Australia,Central West,Lithgow,20241081
NSW_Major Cities of Australia_Sydney - Outer South West_Campbelltown (NSW),NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),20241209
QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,20243020
NSW_Outer Regional Australia_Far West and Orana_Warrumbungle,NSW,Outer Regional Australia,Far West and Orana,Warrumbungle,20241151
QLD_Major Cities of Australia_Sunshine Coast_Noosa,QLD,Major Cities of Australia,Sunshine Coast,Noosa,20243102
NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Port Stephens,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Port Stephens,20241303
SA_Major Cities of Australia_Adelaide - North_Gawler,SA,Major Cities of Australia,Adelaide - North,Gawler,20244018
VIC_Inner Regional Australia_Hume_Alpine,VIC,Inner Regional Australia,Hume,Alpine,20242022
NSW_Inner Regional Australia_Central West_Cabonne,NSW,Inner Regional Australia,Central West,Cabonne,20241257
QLD_Major Cities of Australia_Ipswich_Brisbane,QLD,Major Cities of Australia,Ipswich,Brisbane,20243089
VIC_Inner Regional Australia_Latrobe - Gippsland_Baw Baw,VIC,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,20242181
QLD_Remote Australia_Mackay - Isaac - Whitsunday_Isaac,QLD,Remote Australia,Mackay - Isaac - Whitsunday,Isaac,20243082
QLD_Remote Australia_Darling Downs - Maranoa_Maranoa,QLD,Remote Australia,Darling Downs - Maranoa,Maranoa,20243239
VIC_Outer Regional Australia_Warrnambool and South West_Southern Grampians,VIC,Outer Regional Australia,Warrnambool and South West,Southern Grampians,20242040
QLD_Major Cities of Australia_Moreton Bay - North_Moreton Bay,QLD,Major Cities of Australia,Moreton Bay - North,Moreton Bay,20243084
NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Cessnock,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,20241030
QLD_Inner Regional Australia_Logan - Beaudesert_Scenic Rim,QLD,Inner Regional Australia,Logan - Beaudesert,Scenic Rim,20243127
QLD_Inner Regional Australia_Ipswich_Somerset,QLD,Inner Regional Australia,Ipswich,Somerset,20243003
QLD_Remote Australia_Townsville_Hinchinbrook,QLD,Remote Australia,Townsville,Hinchinbrook,20243266
QLD_Inner Regional Australia_Mackay - Isaac - Whitsunday_Mackay,QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,20243072
SA_Major Cities of Australia_Adelaide - North_Playford,SA,Major Cities of Australia,Adelaide - North,Playford,20244057
NSW_Very Remote Australia_Far West and Orana_Cobar,NSW,Very Remote Australia,Far West and Orana,Cobar,20241091
VIC_Outer Regional Australia_North West_Ararat,VIC,Outer Regional Australia,North West,Ararat,20242135
SA_Inner Regional Australia_Adelaide - Central and Hills_Adelaide Hills,SA,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills,20244060
NSW_Outer Regional Australia_Capital Region_Bega Valley,NSW,Outer Regional Australia,Capital Region,Bega Valley,20241268
SA_Major Cities of Australia_Adelaide - North_Tea Tree Gully,SA,Major Cities of Australia,Adelaide - North,Tea Tree Gully,20244013
NSW_Inner Regional Australia_Illawarra_Kiama,NSW,Inner Regional Australia,Illawarra,Kiama,20241266
VIC_Outer Regional Australia_Warrnambool and South West_Moyne,VIC,Outer Regional Australia,Warrnambool and South West,Moyne,20242080
NSW_Inner Regional Australia_Sydney - Outer South West_Wollondilly,NSW,Inner Regional Australia,Sydney - Outer South West,Wollondilly,20241287
QLD_Inner Regional Australia_Ipswich_Scenic Rim,QLD,Inner Regional Australia,Ipswich,Scenic Rim,20243161
VIC_Major Cities of Australia_Melbourne - South East_Casey,VIC,Major Cities of Australia,Melbourne - South East,Casey,20242042
SA_Outer Regional Australia_Barossa - Yorke - Mid North_Northern Areas,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Northern Areas,20244025
QLD_Outer Regional Australia_Cairns_Tablelands,QLD,Outer Regional Australia,Cairns,Tablelands,20243088
NSW_Major Cities of Australia_Sydney - City and Inner South_Sydney,NSW,Major Cities of Australia,Sydney - City and Inner South,Sydney,20241211
VIC_Inner Regional Australia_Hume_Murrindindi,VIC,Inner Regional Australia,Hume,Murrindindi,20242007
NSW_Inner Regional Australia_Murray_Albury,NSW,Inner Regional Australia,Murray,Albury,20241137
VIC_Major Cities of Australia_Melbourne - Inner East_Boroondara,VIC,Major Cities of Australia,Melbourne - Inner East,Boroondara,20242081
QLD_Major Cities of Australia_Brisbane - East_Redland,QLD,Major Cities of Australia,Brisbane - East,Redland,20243206
SA_Inner Regional Australia_Adelaide - North_Playford,SA,Inner Regional Australia,Adelaide - North,Playford,20244032
VIC_Inner Regional Australia_Latrobe - Gippsland_South Gippsland,VIC,Inner Regional Australia,Latrobe - Gippsland,South Gippsland,20242138
QLD_Outer Regional Australia_Townsville_Hinchinbrook,QLD,Outer Regional Australia,Townsville,Hinchinbrook,20243198
VIC_Inner Regional Australia_Melbourne - Outer East_Yarra Ranges,VIC,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges,20242204
VIC_Inner Regional Australia_Geelong_Surf Coast,VIC,Inner Regional Australia,Geelong,Surf Coast,20242129
SA_Inner Regional Australia_Adelaide - Central and Hills_Mount Barker,SA,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker,20244027
QLD_Major Cities of Australia_Brisbane - East_Brisbane,QLD,Major Cities of Australia,Brisbane - East,Brisbane,20243006
NSW_Major Cities of Australia_Hunter Valley exc Newcastle_Cessnock,NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Cessnock,20241237
NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Maitland,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Maitland,20241052
TAS_Inner Regional Australia_Hobart_Hobart,TAS,Inner Regional Australia,Hobart,Hobart,20246027
SA_Major Cities of Australia_Adelaide - South_Mitcham,SA,Major Cities of Australia,Adelaide - South,Mitcham,20244072
NSW_Inner Regional Australia_Coffs Harbour - Grafton_Clarence Valley,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,20241195
SA_Major Cities of Australia_Adelaide - Central and Hills_Adelaide,SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,20244043
NSW_Inner Regional Australia_Richmond - Tweed_Lismore,NSW,Inner Regional Australia,Richmond - Tweed,Lismore,20241189
VIC_Inner Regional Australia_Shepparton_Greater Shepparton,VIC,Inner Regional Australia,Shepparton,Greater Shepparton,20242115
VIC_Major Cities of Australia_Melbourne - North West_Merri-bek,VIC,Major Cities of Australia,Melbourne - North West,Merri-bek,20242167
NSW_Outer Regional Australia_Riverina_Narrandera,NSW,Outer Regional Australia,Riverina,Narrandera,20241016
TAS_Outer Regional Australia_South East_Huon Valley,TAS,Outer Regional Australia,South East,Huon Valley,20246025
NSW_Outer Regional Australia_Riverina_Griffith,NSW,Outer Regional Australia,Riverina,Griffith,20241034
