crashId,crashType,numberFatalities,busInvolvement,heavyRigidTruckInvolvement,articulatedTruckInvolvement,speedLimit,nationalRoadType
20241150,Single,1,Yes,No,No,50,Arterial Road
20241247,Single,1,No,No,Yes,100,National or State Highway
20241234,Single,1,No,No,No,100,Arterial Road
20242110,Single,1,No,No,No,80,National or State Highway
20242052,Single,1,No,Yes,No,70,Arterial Road
20243247,Single,1,No,No,No,100,Sub-arterial Road
20243144,Single,1,No,No,Yes,100,National or State Highway
20241235,Single,1,No,No,Yes,80,Arterial Road
20243087,Multiple,2,No,No,No,100,Collector Road
20244061,Single,1,No,No,No,110,National or State Highway
20241009,Single,1,No,No,No,80,Arterial Road
20241072,Single,1,No,No,No,60,Sub-arterial Road
20243129,Single,1,No,No,Yes,100,National or State Highway
20242219,Single,1,No,Yes,No,100,National or State Highway
20241219,Single,1,No,No,No,80,Arterial Road
20244010,Single,1,No,No,No,100,Arterial Road
20244040,Single,1,No,No,No,50,Collector Road
20243171,Single,1,No,No,No,100,National or State Highway
20242075,Single,1,No,No,No,80,Arterial Road
20243079,Single,1,No,No,No,100,Sub-arterial Road
20241045,Single,1,No,No,No,50,Local Road
20243017,Multiple,2,No,No,Yes,100,National or State Highway
20241160,Single,1,No,Yes,No,50,Sub-arterial Road
20241081,Single,1,No,No,Yes,100,National or State Highway
20241135,Single,1,No,No,No,100,National or State Highway
20241209,Single,1,No,No,Yes,110,National or State Highway
20242140,Multiple,2,No,Yes,No,100,National or State Highway
20242142,Single,1,No,No,No,100,Sub-arterial Road
20243107,Single,1,No,No,No,80,Sub-arterial Road
20243020,Single,1,No,No,No,60,Local Road
20241151,Single,1,No,No,No,100,Local Road
20243158,Single,1,No,No,Yes,100,National or State Highway
20241286,Single,1,No,No,No,80,Arterial Road
20243102,Single,1,No,No,No,80,Sub-arterial Road
20241303,Single,1,No,No,No,100,Arterial Road
20246029,Single,1,No,No,No,50,National or State Highway
20248005,Single,1,No,No,No,80,Arterial Road
20244018,Single,1,No,No,No,110,Collector Road
20241060,Multiple,2,No,No,No,80,Arterial Road
20242022,Single,1,No,Yes,No,60,Local Road
20241037,Single,1,No,No,No,70,Arterial Road
20241257,Single,1,No,No,No,50,Local Road
20241128,Single,1,No,No,No,100,National or State Highway
20243089,Single,1,No,No,No,60,Collector Road
20242181,Single,1,No,No,No,100,Local Road
20243082,Single,1,No,No,Yes,100,National or State Highway
20243150,Single,1,No,No,No,100,National or State Highway
20243170,Single,1,No,No,No,60,Sub-arterial Road
20243239,Single,1,No,No,No,100,National or State Highway
20242040,Single,1,No,No,Yes,100,National or State Highway
20243084,Single,1,No,No,No,80,Sub-arterial Road
20241030,Single,1,No,No,No,80,Arterial Road
20243127,Single,1,No,Yes,No,80,National or State Highway
20243003,Single,1,No,No,No,100,Local Road
20243266,Single,1,No,No,No,60,Access road
20241042,Single,1,No,No,No,80,National or State Highway
20243121,Single,1,No,No,No,100,Sub-arterial Road
20241175,Single,1,No,No,No,50,Collector Road
20243072,Single,1,No,No,No,80,Collector Road
20244057,Single,1,No,No,No,90,National or State Highway
20241091,Single,1,No,No,No,110,National or State Highway
20243201,Single,1,No,No,No,100,Local Road
20242135,Single,1,No,No,No,100,National or State Highway
20243225,Single,1,No,No,No,80,Sub-arterial Road
20241167,Single,1,No,No,No,50,Collector Road
20244060,Single,1,No,No,No,100,Sub-arterial Road
20241268,Single,1,No,No,No,100,National or State Highway
20244013,Single,1,No,No,No,60,Sub-arterial Road
20243235,Multiple,2,No,No,No,90,Local Road
20244059,Multiple,2,No,No,No,110,National or State Highway
20241266,Single,1,No,No,No,80,Arterial Road
20243131,Single,1,No,No,No,60,Sub-arterial Road
20242080,Single,1,No,No,No,100,Local Road
20241287,Single,1,No,No,No,100,Arterial Road
20241152,Single,1,No,No,No,100,National or State Highway
20243161,Single,1,No,No,No,100,Sub-arterial Road
20242042,Single,1,No,No,No,80,Arterial Road
20243210,Single,1,No,No,No,60,Collector Road
20244025,Single,1,No,No,No,110,Arterial Road
20243088,Single,1,No,No,No,50,Sub-arterial Road
20241211,Multiple,2,Yes,No,No,70,National or State Highway
20242007,Single,1,No,No,No,100,National or State Highway
20241204,Single,1,No,No,No,80,National or State Highway
20244062,Single,1,No,No,No,80,Local Road
20241137,Single,1,No,No,No,110,National or State Highway
20243117,Single,1,No,No,No,60,Sub-arterial Road
20242081,Single,1,No,No,No,60,Arterial Road
20243206,Single,1,No,No,No,60,Sub-arterial Road
20248003,Single,1,No,No,No,70,Collector Road
20244032,Single,1,No,No,No,110,Collector Road
20241153,Single,1,No,No,No,60,Collector Road
20242138,Single,1,No,No,No,100,National or State Highway
20243198,Single,1,No,No,No,100,Local Road
20242107,Single,1,No,No,No,40,Local Road
20243080,Single,1,No,No,No,100,Collector Road
20242204,Single,1,No,No,No,80,Sub-arterial Road
20242139,Single,1,No,No,No,50,Access road
20241103,Single,1,No,No,No,80,Arterial Road
20242129,Single,1,No,No,No,100,Local Road
20244027,Single,1,No,No,No,80,Arterial Road
20243006,Single,1,No,No,No,50,Sub-arterial Road
20243108,Single,1,No,No,No,100,Sub-arterial Road
20243212,Single,1,No,No,No,70,Collector Road
20241237,Single,1,No,No,No,50,Local Road
20241052,Single,1,No,No,No,100,National or State Highway
20241308,Single,1,No,No,No,50,Sub-arterial Road
20246027,Single,1,No,No,No,50,Local Road
20244072,Single,1,No,No,No,50,Collector Road
20241195,Single,1,No,No,No,80,Sub-arterial Road
20244043,Single,1,No,No,No,50,Sub-arterial Road
20241102,Single,1,No,No,No,60,Arterial Road
20243194,Single,1,No,No,No,60,National or State Highway
20243070,Single,1,No,Yes,No,100,National or State Highway
20243165,Single,1,No,No,No,80,Local Road
20241063,Single,1,No,No,No,70,Arterial Road
20241132,Single,1,Yes,No,No,60,National or State Highway
20241292,Single,1,No,No,No,60,Arterial Road
20241189,Single,1,No,No,No,100,Local Road
20241233,Multiple,4,No,No,No,110,National or State Highway
20242115,Single,1,No,No,No,100,Sub-arterial Road
20242167,Single,1,No,No,No,60,Sub-arterial Road
20241016,Single,1,No,No,No,100,Local Road
20243234,Single,1,No,No,No,60,Local Road
20246025,Single,1,No,No,No,80,Sub-arterial Road
20241220,Single,1,No,No,No,80,Sub-arterial Road
20241034,Single,1,No,No,No,50,Local Road
20242012,Single,1,No,No,No,50,Local Road
20243009,Multiple,2,No,No,No,60,Access road
20241269,Single,1,No,No,No,50,Arterial Road
20242093,Single,1,No,No,No,50,Local Road
20242176,Single,1,No,No,No,100,Sub-arterial Road
20242255,Single,1,No,No,No,100,Sub-arterial Road
20241066,Single,1,No,No,No,90,Local Road
20242175,Single,1,No,No,No,100,Access road
20243207,Single,1,No,No,No,60,Local Road
20242029,Single,1,No,No,No,60,Local Road
20241246,Single,1,No,No,No,80,Arterial Road
20241078,Single,1,No,No,No,70,Local Road
20243064,Single,1,No,No,No,100,National or State Highway
20241013,Multiple,2,No,No,No,100,Sub-arterial Road
20246019,Single,1,No,No,No,80,National or State Highway
20242257,Single,1,No,No,No,50,Collector Road
20241138,Single,1,No,No,No,50,Local Road
20244014,Single,1,No,No,No,40,Sub-arterial Road
20244069,Single,1,No,No,No,60,Arterial Road
20242053,Single,1,No,No,No,100,Arterial Road
20243111,Single,1,No,No,No,100,National or State Highway
20243067,Single,1,No,No,No,100,Local Road
20242186,Single,1,No,Yes,No,80,National or State Highway
20242250,Single,1,No,No,No,60,Local Road
20243167,Single,1,No,No,No,70,National or State Highway
20243106,Single,1,No,No,No,70,Sub-arterial Road
20242098,Single,1,No,No,No,60,Local Road
20241179,Single,1,No,No,No,80,Sub-arterial Road
20242070,Single,1,No,No,No,80,Arterial Road
20243261,Single,1,No,No,Yes,100,Local Road
20243227,Single,1,No,No,No,100,Local Road
20242243,Single,1,No,No,No,50,Local Road
20242102,Single,1,No,No,No,60,Arterial Road
20241109,Single,1,No,No,No,100,National or State Highway
20243187,Single,1,No,No,No,60,Local Road
20241301,Single,1,No,No,No,80,Local Road
20243135,Single,1,No,Yes,No,100,Local Road
20241248,Single,1,No,No,No,60,Collector Road
20243268,Single,1,No,No,No,100,Local Road
20242071,Single,1,No,No,No,60,Arterial Road
20241020,Single,1,No,No,No,100,National or State Highway
20241294,Single,1,No,No,No,60,National or State Highway
20241304,Single,1,No,No,No,80,Sub-arterial Road
20242123,Single,1,No,No,No,60,National or State Highway
20242144,Single,1,No,No,No,60,Local Road
20241199,Multiple,2,No,No,No,80,Arterial Road
20243066,Single,1,No,No,No,50,Local Road
20243233,Single,1,No,No,Yes,100,National or State Highway
20243203,Single,1,No,No,No,100,National or State Highway
20242209,Single,1,No,No,No,100,Arterial Road
20242056,Single,1,No,No,No,70,Sub-arterial Road
20242130,Single,1,No,No,No,100,Arterial Road
20243109,Multiple,2,No,No,No,100,National or State Highway
20243010,Single,1,No,No,No,100,Sub-arterial Road
20243181,Single,1,No,No,No,100,Sub-arterial Road
20246018,Single,1,No,Yes,Yes,80,Arterial Road
20241071,Single,1,No,No,No,60,Arterial Road
20241186,Single,1,No,No,No,70,National or State Highway
20243078,Single,1,No,No,No,70,Local Road
20241223,Single,1,No,No,No,50,National or State Highway
20241221,Single,1,No,No,No,60,Arterial Road
20241143,Single,1,No,No,No,100,Arterial Road
20243242,Single,1,No,No,No,100,Sub-arterial Road
20242189,Single,1,No,No,No,50,Local Road
20242170,Single,1,No,Yes,No,60,Arterial Road
20243043,Single,1,No,Yes,No,80,Sub-arterial Road
20241140,Single,1,No,No,No,100,National or State Highway
20244063,Single,1,No,No,No,110,National or State Highway
20241131,Single,1,No,No,No,100,Arterial Road
20242172,Single,1,No,No,No,60,Arterial Road
20241111,Single,1,No,No,No,80,Arterial Road
20242055,Single,1,No,No,No,60,Collector Road
20241017,Single,1,No,No,No,50,Local Road
20244067,Single,1,No,No,No,40,Collector Road
20246024,Single,1,No,No,No,100,Arterial Road
20241254,Multiple,2,No,No,No,80,Sub-arterial Road
20243011,Single,1,No,No,No,80,Collector Road
20246011,Single,1,No,No,No,80,Arterial Road
20242177,Single,1,No,No,No,80,Pedestrian Thoroughfare
20241127,Single,1,No,No,No,50,Access road
20241210,Single,1,No,No,No,100,Arterial Road
20242132,Multiple,2,No,No,No,100,Sub-arterial Road
20242184,Single,1,No,No,No,80,Arterial Road
20241253,Single,1,No,No,No,100,Sub-arterial Road
20243024,Single,1,No,No,No,80,National or State Highway
20242224,Single,1,No,No,No,60,Local Road
20243031,Single,1,No,No,No,50,Local Road
20242069,Single,1,No,No,No,60,Local Road
20243156,Single,1,No,No,No,60,Local Road
20242251,Single,1,No,No,No,60,Sub-arterial Road
20244034,Single,1,No,No,No,80,Collector Road
20242090,Single,1,No,No,No,100,National or State Highway
20243231,Multiple,3,No,No,No,100,Sub-arterial Road
20242194,Single,1,No,No,No,100,Collector Road
20243142,Single,1,No,No,No,100,National or State Highway
20242043,Single,1,No,Yes,No,50,Local Road
20243124,Single,1,No,Yes,No,100,National or State Highway
20244007,Single,1,No,No,No,80,Collector Road
20242060,Single,1,No,No,No,60,Sub-arterial Road
20243104,Single,1,No,No,No,60,Local Road
20244041,Single,1,No,No,No,110,National or State Highway
20246026,Single,1,No,No,No,70,Collector Road
20243021,Single,1,No,No,Yes,100,National or State Highway
20242155,Single,1,No,No,No,100,National or State Highway
20242032,Single,1,No,Yes,No,40,Arterial Road
20241285,Single,1,No,No,No,70,Arterial Road
20244066,Single,1,No,No,No,110,Sub-arterial Road
20242064,Single,1,No,No,No,60,Collector Road
20242164,Single,1,No,No,No,60,Arterial Road
20244035,Single,1,No,No,No,100,Arterial Road
20243018,Single,1,No,No,No,80,Sub-arterial Road
20242086,Single,1,No,No,No,80,Arterial Road
20243217,Single,1,No,Yes,No,60,Sub-arterial Road
20243251,Single,1,No,No,Yes,100,National or State Highway
20243058,Single,1,No,No,No,100,Sub-arterial Road
20244046,Single,1,No,No,No,100,Arterial Road
20243085,Single,1,No,No,No,60,Local Road
20244039,Single,1,No,No,No,100,Sub-arterial Road
20243240,Single,1,No,No,No,100,Sub-arterial Road
20246002,Multiple,2,No,No,No,100,National or State Highway
20242099,Multiple,2,No,No,No,100,National or State Highway
20243063,Single,1,No,No,No,60,Collector Road
20241176,Single,1,No,No,No,80,National or State Highway
20247022,Single,1,No,Yes,No,130,National or State Highway
20241086,Single,1,No,No,No,70,Arterial Road
20241224,Single,1,No,No,No,80,Sub-arterial Road
20241265,Single,1,No,No,No,100,National or State Highway
20241202,Single,1,No,No,No,50,Arterial Road
20246023,Single,1,No,Yes,Yes,60,Arterial Road
20241293,Single,1,No,No,Yes,110,National or State Highway
20241299,Single,1,No,No,No,100,National or State Highway
20244078,Single,1,No,No,No,50,Collector Road
20243164,Single,1,No,Yes,No,60,Local Road
20242201,Single,1,No,No,No,100,Local Road
20241307,Single,1,No,No,No,100,Sub-arterial Road
20242074,Multiple,2,No,No,No,100,Sub-arterial Road
20241243,Multiple,2,No,No,Yes,110,National or State Highway
20247034,Single,1,No,No,No,60,Sub-arterial Road
20241260,Single,1,No,No,No,70,Local Road
